리뷰ID,작성일,채널,SKU,상품명,평점,리뷰내용,도움수
RV-0099,2026-06-22,자사몰,FR05,무아레 오션브리즈 디퓨저,5,발향 밸런스가 딱 좋아요,2
RV-0113,2026-06-22,자사몰,FB06,무아레 코튼 플레이스매트 2P,3,가격 생각하면 적당한 것 같아요,0
RV-0148,2026-06-22,네이버 스마트스토어,TW06,무아레 글라스 컵 4P,1,색이 화면과 살짝 달라요,0
RV-0220,2026-06-22,자사몰,FR06,무아레 리넨 룸스프레이,5,무아레 향 시리즈 계속 모으는 중이에요,2
RV-0235,2026-06-22,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,5,집들이 선물했더니 반응 좋았어요,0
RV-0254,2026-06-22,자사몰,ST05,무아레 실링스티커,5,구성이 알차서 만족이에요,0
RV-0297,2026-06-22,네이버 스마트스토어,TW06,무아레 글라스 컵 4P,4,전자레인지도 되고 실용적이에요,1
RV-0342,2026-06-22,자사몰,ST03,무아레 아트 엽서세트,3,가격 생각하면 적당한 것 같아요,0
RV-0401,2026-06-22,자사몰,FB02,무아레 린넨 테이블러너,4,마감이 꼼꼼하네요,1
RV-0030,2026-06-23,자사몰,FB05,무아레 웨이브 테이블러너,3,가격 생각하면 적당한 것 같아요,0
RV-0100,2026-06-23,네이버 스마트스토어,ST06,무아레 데스크 캘린더,4,디자인이 예뻐서 데일리로 써요,0
RV-0107,2026-06-23,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,생각보다 고급스러워요,0
RV-0108,2026-06-23,네이버 스마트스토어,TW03,무아레 스톤 플레이트 2P,4,색감이 사진 그대로예요,0
RV-0265,2026-06-23,자사몰,ST04,무아레 마스킹테이프 세트,5,선물용으로 딱이에요,2
RV-0269,2026-06-23,네이버 스마트스토어,ST05,무아레 실링스티커,3,나쁘진 않은데 특별하진 않네요,0
RV-0300,2026-06-23,자사몰,FR01,무아레 화이트무스크 캔들,4,무아레 향 시리즈 계속 모으는 중이에요,0
RV-0305,2026-06-23,자사몰,FR04,무아레 화이트무스크 디퓨저,5,집들이 선물했더니 반응 좋았어요,3
RV-0321,2026-06-23,자사몰,ST06,무아레 데스크 캘린더,2,가격 대비 조금 아쉬워요,0
RV-0379,2026-06-23,자사몰,FB06,무아레 코튼 플레이스매트 2P,3,기대보단 딱 그 정도예요,1
RV-0438,2026-06-23,자사몰,FB06,무아레 코튼 플레이스매트 2P,5,마감이 꼼꼼하네요,3
RV-0475,2026-06-23,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,2,디퓨저 스틱에 향이 잘 안 올라와요,1
RV-0144,2026-06-24,자사몰,TW02,무아레 웨이브 머그,4,선물했더니 좋아하네요,3
RV-0145,2026-06-24,네이버 스마트스토어,ST01,무아레 데일리 다이어리,4,구성이 알차서 만족이에요,3
RV-0242,2026-06-24,자사몰,FB04,무아레 린넨 앞치마,5,생각보다 고급스러워요,2
RV-0323,2026-06-24,네이버 스마트스토어,ST02,무아레 그리드 노트,4,디자인이 예뻐서 데일리로 써요,0
RV-0326,2026-06-24,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,2,배송이 생각보다 늦었어요,0
RV-0393,2026-06-24,네이버 스마트스토어,ST05,무아레 실링스티커,3,기대보단 딱 그 정도예요,1
RV-0408,2026-06-24,네이버 스마트스토어,ST06,무아레 데스크 캘린더,2,기대했는데 아쉽네요,1
RV-0474,2026-06-24,자사몰,TW02,무아레 웨이브 머그,5,묵직하고 질감이 좋아요,0
RV-0009,2026-06-25,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,2,배송이 생각보다 늦었어요,2
RV-0036,2026-06-25,네이버 스마트스토어,TW02,무아레 웨이브 머그,4,마감이 깔끔하고 튼튼해요,0
RV-0142,2026-06-25,자사몰,TW02,무아레 웨이브 머그,5,묵직하고 질감이 좋아요,0
RV-0154,2026-06-25,네이버 스마트스토어,ST06,무아레 데스크 캘린더,5,디자인이 예뻐서 데일리로 써요,0
RV-0170,2026-06-25,자사몰,ST04,무아레 마스킹테이프 세트,5,가성비 좋아요,0
RV-0253,2026-06-25,자사몰,FB03,무아레 워시드 쿠션커버,4,색이 은은해서 어디든 잘 어울려요,1
RV-0282,2026-06-25,네이버 스마트스토어,ST01,무아레 데일리 다이어리,3,나쁘진 않은데 특별하진 않네요,0
RV-0309,2026-06-25,자사몰,TW05,무아레 스톤 보울,3,나쁘진 않은데 특별하진 않네요,1
RV-0351,2026-06-25,네이버 스마트스토어,ST03,무아레 아트 엽서세트,5,종이질이 좋아서 필기감이 부드러워요,1
RV-0362,2026-06-25,자사몰,ST04,무아레 마스킹테이프 세트,3,가격 생각하면 적당한 것 같아요,0
RV-0515,2026-06-25,자사몰,TW04,무아레 웨이브 플레이트 2P,5,선물했더니 좋아하네요,1
RV-0200,2026-06-26,자사몰,FR08,무아레 미니 캔들 3종세트,1,가격 대비 조금 아쉬워요,8
RV-0284,2026-06-26,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,2,기대했는데 아쉽네요,0
RV-0288,2026-06-26,자사몰,ST06,무아레 데스크 캘린더,5,선물용으로 딱이에요,0
RV-0412,2026-06-26,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,3,기대보단 딱 그 정도예요,5
RV-0251,2026-06-27,자사몰,ST02,무아레 그리드 노트,4,종이질이 좋아서 필기감이 부드러워요,0
RV-0456,2026-06-27,자사몰,FR08,무아레 미니 캔들 3종세트,5,집들이 선물했더니 반응 좋았어요,0
